날짜,가격
2025-06-23,28700
2025-06-24,30500
2025-06-25,25700
2025-06-26,24500
2025-06-27,25500
2025-06-30,20500
2025-07-01,19500
2025-07-02,14500
2025-07-03,14500
2025-07-04,15500
2025-07-07,15200
2025-07-08,14800
2025-07-09,11600
2025-07-10,11600
2025-07-11,11000
2025-07-14,15000
2025-07-15,19000
2025-07-16,18500
2025-07-17,17000
2025-07-18,16700
2025-07-21,14000
2025-07-22,13200
2025-07-23,13000
2025-07-24,15000
2025-07-25,19000
2025-07-28,20500
2025-07-29,19800
2025-07-30,21700
2025-07-31,24500
2025-08-01,24700
2025-08-04,19500
2025-08-05,17500
2025-08-06,16000
2025-08-07,16500
2025-08-08,14700
2025-08-11,15000
2025-08-12,15700
2025-08-13,20000
2025-08-14,25000
2025-08-18,25500
2025-08-19,29700
2025-08-20,34200
2025-08-21,34700
2025-08-22,34700
2025-08-25,29000
2025-08-26,26500
2025-08-27,23700
2025-08-28,23000
2025-08-29,23000
2025-09-01,18000
2025-09-02,18500
2025-09-03,19000
2025-09-04,19500
2025-09-05,19000
2025-09-08,17700
2025-09-09,20500
2025-09-10,20200
2025-09-11,23500
2025-09-12,22700
2025-09-15,23500
2025-09-16,26000
2025-09-17,26200
2025-09-18,26700
2025-09-19,26000
2025-09-22,31500
2025-09-23,35500
2025-09-24,35200
2025-09-25,34500
2025-09-26,31500
2025-09-29,33700
2025-09-30,35700
2025-10-01,35500
2025-10-02,36200
2025-10-10,18200
2025-10-13,18500
2025-10-14,24000
2025-10-15,29500
2025-10-16,30700
2025-10-17,27700
2025-10-20,26700
2025-10-21,32000
2025-10-22,31200
2025-10-23,32500
2025-10-24,32000
2025-10-27,33300
2025-10-28,35700
2025-10-29,40500
2025-10-30,42500
2025-10-31,42500
2025-11-03,31200
2025-11-04,29700
2025-11-05,26500
2025-11-06,24700
2025-11-07,24200
2025-11-10,21200
2025-11-11,20200
2025-11-12,20200
2025-11-13,20200
2025-11-14,20200
2025-11-17,21200
2025-11-18,20700
2025-11-19,19700
2025-11-20,20000
2025-11-21,20000
2025-11-24,17500
2025-11-25,18200
2025-11-26,18700
2025-11-27,19500
2025-11-28,21000
2025-12-01,22200
2025-12-02,22000
2025-12-03,20500
2025-12-04,20500
2025-12-08,20200
2025-12-09,22000
2025-12-10,21200
2025-12-11,21000
2025-12-12,21200
2025-12-15,21700
2025-12-16,21700
2025-12-17,21700
2025-12-18,21700
2025-12-19,22000
2025-12-22,25200
2025-12-23,25200
2025-12-24,26500
2025-12-26,25700
2025-12-29,29200
2025-12-30,31200
2025-12-31,31200
