연도,품목명,품종명,평균가격,등급명,유통단계별무게,유통단계별단위명
2024-01,쌀,20kg,56837.744,상품,20,kg
2024-01,쌀,10kg,29733.533,상품,10,kg
2024-01,찹쌀,일반계,3759.667,상품,1,kg
2024-01,콩,흰 콩(국산),4821.288,상품,500,g
2024-01,팥,붉은 팥(국산),8157.39,상품,500,g
2024-01,녹두,국산,11693.802,상품,500,g
2024-01,고구마,밤,5223.346,상품,1,kg
2024-01,고구마,밤,4348.929,중품,1,kg
2024-01,감자,수미(노지),364.456,상품,100,g
2024-01,감자,수미(노지),302.254,중품,100,g
2024-01,감자,대지마,572.787,상품,100,g
2024-01,감자,대지마,552.982,중품,100,g
2024-01,감자,수미(시설),530.625,상품,100,g
2024-01,감자,기타(노지),448.402,상품,100,g
2024-01,감자,기타(노지),312.622,중품,100,g
2024-01,배추,월동,3044.32,상품,1,포기
2024-01,배추,월동,3057.167,중품,1,포기
2024-01,양배추,양배추,3757.693,상품,1,포기
2024-01,양배추,양배추,3305.366,중품,1,포기
2024-01,시금치,시금치,842.412,상품,100,g
2024-01,상추,적,1214.94,상품,100,g
2024-01,상추,적,778.944,중품,100,g
2024-01,상추,청,1317.396,상품,100,g
2024-01,얼갈이배추,얼갈이배추,3717.132,상품,1,kg
2024-01,갓,갓,5342.148,상품,1,kg
2024-01,수박,수박,25454.447,상품,1,개
2024-01,수박,수박,24104.864,중품,1,개
2024-01,오이,가시계통,19166.624,상품,10,개
2024-01,오이,다다기계통,14681.181,상품,10,개
2024-01,오이,다다기계통,10125.19,중품,10,개
2024-01,오이,취청,18665.4,상품,10,개
2024-01,호박,애호박,2409.856,상품,1,개
2024-01,호박,애호박,1799.283,중품,1,개
2024-01,호박,쥬키니,2110.597,상품,1,개
2024-01,토마토,토마토,7108.602,상품,1,kg
2024-01,딸기,딸기,2172.034,상품,100,g
2024-01,딸기,딸기,1749.187,중품,100,g
2024-01,무,월동,1597.006,상품,1,개
2024-01,무,월동,1432.041,중품,1,개
2024-01,당근,무세척,3396.944,상품,1,kg
2024-01,당근,무세척,3022.135,중품,1,kg
2024-01,열무,열무,7415.108,상품,1,kg
2024-01,건고추,화건,18506.715,상품,600,g
2024-01,풋고추,풋고추(녹광 등),1623.088,상품,100,g
2024-01,풋고추,꽈리고추,1790.511,상품,100,g
2024-01,풋고추,꽈리고추,1078.778,중품,100,g
2024-01,풋고추,청양고추,1583.216,상품,100,g
2024-01,풋고추,청양고추,992.315,중품,100,g
2024-01,풋고추,오이맛고추,1493.961,상품,100,g
2024-01,붉은고추,붉은고추,1768.475,상품,100,g
2024-01,붉은고추,붉은고추,981.111,중품,100,g
2024-01,양파,양파,2360.278,상품,1,kg
2024-01,양파,양파,2128.571,중품,1,kg
2024-01,파,대파,4158.192,상품,1,kg
2024-01,파,대파,3762.235,중품,1,kg
2024-01,파,쪽파,10627.705,상품,1,kg
2024-01,파,쪽파,7717.642,중품,1,kg
2024-01,생강,국산,15546.62,상품,1,kg
2024-01,고춧가루,국산,34682.456,상품,1,kg
2024-01,고춧가루,중국,13648.687,상품,1,kg
2024-01,미나리,미나리,1745.234,상품,100,g
2024-01,깻잎,깻잎,2891.896,상품,100,g
2024-01,피망,청,1760.741,상품,100,g
2024-01,파프리카,파프리카,2087.931,상품,200,g
2024-01,파프리카,파프리카,1436.302,중품,200,g
2024-01,멜론,멜론,17040.831,상품,1,개
2024-01,깐마늘(국산),깐마늘(국산),9941.933,상품,1,kg
2024-01,깐마늘(국산),깐마늘(국산),7692.473,중품,1,kg
2024-01,알배기배추,알배기배추,2780.68,상품,1,포기
2024-01,알배기배추,알배기배추,1937.318,중품,1,포기
2024-01,브로콜리,브로콜리(국산),1956.36,상품,1,개
2024-01,브로콜리,브로콜리(국산),1593.917,중품,1,개
2024-01,참깨,백색(국산),16745.146,상품,500,g
2024-01,참깨,중국,5035.407,중품,500,g
2024-01,땅콩,국산,3310.994,상품,100,g
2024-01,땅콩,수입,1051.82,중품,100,g
2024-01,느타리버섯,느타리버섯,1067.169,상품,100,g
2024-01,느타리버섯,애느타리버섯,630.333,상품,100,g
2024-01,팽이버섯,팽이버섯,555.223,상품,150,g
2024-01,새송이버섯,새송이버섯,618.909,상품,100,g
2024-01,새송이버섯,새송이버섯,466.161,중품,100,g
2024-01,호두,수입,1635.568,중품,100,g
2024-01,아몬드,수입,1550.563,중품,100,g
2024-01,사과,후지,27593.301,상품,10,개
2024-01,사과,후지,22297.967,중품,10,개
2024-01,배,신고,33045.13,상품,10,개
2024-01,배,신고,25491.566,중품,10,개
2024-01,포도,샤인머스켓,24522.407,L과,2,kg
2024-01,감귤,노지,4527.61,M과,10,개
2024-01,감귤,노지,3689.942,S과,10,개
2024-01,단감,단감,18003.325,상품,10,개
2024-01,단감,단감,15073.599,중품,10,개
2024-01,바나나,수입,322.716,상품,100,g
2024-01,바나나,수입,287.321,중품,100,g
2024-01,참다래,국산,10181.119,상품,10,개
2024-01,참다래,국산,8076.029,중품,10,개
2024-01,파인애플,수입,7999.573,상품,1,개
2024-01,파인애플,수입,6846.802,중품,1,개
2024-01,오렌지,네이블 미국,17430,상품,10,개
2024-01,오렌지,네이블 미국,16838.083,중품,10,개
2024-01,오렌지,네이블 호주,12927.056,중품,10,개
2024-01,방울토마토,방울토마토,12042.406,상품,1,kg
2024-01,방울토마토,대추방울토마토,10854.903,상품,1,kg
2024-01,레몬,수입,11002.655,상품,10,개
2024-01,레몬,수입,8954.679,중품,10,개
2024-01,체리,수입,2851.151,상품,100,g
2024-01,망고,수입,5710.535,상품,1,개
2024-01,망고,수입,3859.208,중품,1,개
2024-01,아보카도,수입,2059.396,상품,1,개
