조회일자,품목코드,품목명,평년비율,전일비율,도매일일가격,도매순가격,도매전일가격,도매전순가격,도매전년순가격,도매평년순가격,도매일일위기단계명,도매일일작형연속위기횟수,도매일일작형위기단계코드,도매순위기단계명,도매순작형위기단계코드,도매순작형연속위기횟수,도매월위기단계명,도매월작형위기단계코드,도매전일자,도매전순월,도매전순명,도매순월,도매순명,도매일자,소매일일가격,소매순가격,소매전일가격,소매전순가격,소매전년순가격,소매평년순가격,소매전일자,소매전순월,소매전순명,소매순월,소매순명,소매일자
2024-01-01,1001,배추,11.468,-18.98,1875.667,1981.667,2231.667,2090,1345.667,1683,안정,9,4,안정,4,1,안정,4,2023-12-29,12,하순,1,상순,2023-12-30,3312,3163,3324,3123,3113,3461,2023-12-28,12,하순,1,상순,2023-12-29
2024-01-01,1101,무,-3.148,-13.066,1200.1,939.9,1356.9,1191,1086.4,1239,안정,1,4,안정,4,1,안정,4,2023-12-29,12,하순,1,상순,2023-12-30,1764,1806,1744,1769,1892,1863,2023-12-28,12,하순,1,상순,2023-12-29
2024-01-01,1207,건고추,13.79,0,13524,13515.42,13524,13524,12528,11885,상승심각,92,7,상승심각,7,1,상승심각,7,2023-12-28,12,하순,1,상순,2023-12-29,18352,18430,18352,18416,16366,15669,2023-12-28,12,하순,1,상순,2023-12-29
2024-01-01,1209,마늘,-1.89,0,6750,6750,6750,6792,8130.95,6880,상승주의,65,5,상승주의,5,1,상승주의,5,2023-12-28,12,하순,1,상순,2023-12-29,10208,9599,10129,9909,12734,10593,2023-12-28,12,하순,1,상순,2023-12-29
2024-01-01,1201,양파,28.291,-0.536,1306,1216,1313,1276,1400,1018,안정,73,4,안정,4,1,안정,4,2023-12-29,12,하순,1,상순,2023-12-30,2287,2317,2299,2344,2888,2083,2023-12-28,12,하순,1,상순,2023-12-29
2024-01-01,1202,대파,188.651,-14.553,4171,3150,4778,4232,1429,1445,상승심각,15,7,상승심각,7,1,상승심각,7,2023-12-29,12,하순,1,상순,2023-12-30,7571,6976,7674,7341,5499,4840,2023-12-28,12,하순,1,상순,2023-12-29
2024-01-02,1001,배추,11.468,-18.98,1875.667,1981.667,2231.667,2090,1345.667,1683,안정,9,4,안정,4,1,안정,4,2023-12-29,12,하순,1,상순,2023-12-30,3356,3163,3312,3123,3113,3461,2023-12-29,12,하순,1,상순,2024-01-02
2024-01-02,1101,무,-3.148,-13.066,1200.1,939.9,1356.9,1191,1086.4,1239,안정,1,4,안정,4,1,안정,4,2023-12-29,12,하순,1,상순,2023-12-30,1779,1806,1764,1769,1892,1863,2023-12-29,12,하순,1,상순,2024-01-02
2024-01-02,1207,건고추,13.79,0,13524,13515.42,13524,13524,12528,11885,상승심각,92,7,상승심각,7,1,상승심각,7,2023-12-28,12,하순,1,상순,2023-12-29,18352,18430,18352,18416,16366,15669,2023-12-28,12,하순,1,상순,2023-12-29
2024-01-02,1209,마늘,-1.89,0,6750,6750,6750,6792,8130.95,6880,상승주의,65,5,상승주의,5,1,상승주의,5,2023-12-28,12,하순,1,상순,2023-12-29,10208,9599,10129,9909,12734,10593,2023-12-28,12,하순,1,상순,2023-12-29
2024-01-02,1201,양파,28.291,-0.536,1306,1216,1313,1276,1400,1018,안정,73,4,안정,4,1,안정,4,2023-12-29,12,하순,1,상순,2023-12-30,2445,2317,2287,2344,2888,2083,2023-12-29,12,하순,1,상순,2024-01-02
2024-01-02,1202,대파,188.651,-14.553,4171,3150,4778,4232,1429,1445,상승심각,15,7,상승심각,7,1,상승심각,7,2023-12-29,12,하순,1,상순,2023-12-30,7765,6976,7571,7341,5499,4840,2023-12-29,12,하순,1,상순,2024-01-02
