일련번호,부류구분,품목명,품목코드,등급,등급단위,거래수량,거래단위,거래단위수량,중량단위,평균가격,전일평균가격,전년가격,전일대비등락율,전년대비등락율,시장구분,사용여부,가격날짜
1866014,2,고구마,15100,특,0,  10,키로상자,  10키로상자,01,44323,0,0,0,0,1,Y,2024-01-03
1866015,2,고구마,15100,상,1,  10,키로상자,  10키로상자,01,30471,0,0,0,0,1,Y,2024-01-03
1866016,2,고구마,15100,중,2,  10,키로상자,  10키로상자,01,21959,0,0,0,0,1,Y,2024-01-03
1866017,2,고구마,15100,하,3,  10,키로상자,  10키로상자,01,11881,0,0,0,0,1,Y,2024-01-03
1866034,2,감자,15200,특,0,  20,키로상자,  20키로상자,01,66943,0,0,0,0,1,Y,2024-01-03
1866035,2,감자,15200,상,1,  20,키로상자,  20키로상자,01,44910,0,0,0,0,1,Y,2024-01-03
1866036,2,감자,15200,중,2,  20,키로상자,  20키로상자,01,32529,0,0,0,0,1,Y,2024-01-03
1866037,2,감자,15200,하,3,  20,키로상자,  20키로상자,01,18203,0,0,0,0,1,Y,2024-01-03
1866063,2,배추,21100,특,0,  10,키로망대,  10키로망대,04,6962,0,0,0,0,1,Y,2024-01-03
1866064,2,배추,21100,상,1,  10,키로망대,  10키로망대,04,6400,0,0,0,0,1,Y,2024-01-03
1866065,2,배추,21100,중,2,  10,키로망대,  10키로망대,04,5643,0,0,0,0,1,Y,2024-01-03
1866066,2,배추,21100,하,3,  10,키로망대,  10키로망대,04,5187,0,0,0,0,1,Y,2024-01-03
1866090,2,양배추,21200,상,1,   8,키로망대,   8키로망대,04,4805,0,0,0,0,1,Y,2024-01-03
1866091,2,양배추,21200,중,2,   8,키로망대,   8키로망대,04,3764,0,0,0,0,1,Y,2024-01-03
1866092,2,양배추,21200,하,3,   8,키로망대,   8키로망대,04,2612,0,0,0,0,1,Y,2024-01-03
1866104,2,시금치,21300,특,0, 500,그람단, 500그람단,48,1723,0,0,0,0,1,Y,2024-01-03
1866105,2,시금치,21300,상,1, 500,그람단, 500그람단,48,1576,0,0,0,0,1,Y,2024-01-03
1866106,2,시금치,21300,중,2, 500,그람단, 500그람단,48,1361,0,0,0,0,1,Y,2024-01-03
1866107,2,시금치,21300,하,3, 500,그람단, 500그람단,48,941,0,0,0,0,1,Y,2024-01-03
1866124,2,상추,21400,상,1,   4,키로상자,   4키로상자,01,19753,0,0,0,0,1,Y,2024-01-03
1866125,2,상추,21400,중,2,   4,키로상자,   4키로상자,01,14618,0,0,0,0,1,Y,2024-01-03
1866126,2,상추,21400,하,3,   4,키로상자,   4키로상자,01,9516,0,0,0,0,1,Y,2024-01-03
1866142,2,깻잎,21500,상,1, 100,속, 100속,88,32344,0,0,0,0,1,Y,2024-01-03
1866143,2,깻잎,21500,중,2, 100,속, 100속,88,25252,0,0,0,0,1,Y,2024-01-03
1866144,2,깻잎,21500,하,3, 100,속, 100속,88,18659,0,0,0,0,1,Y,2024-01-03
1866169,2,쑥갓,21800,상,1,   4,키로상자,   4키로상자,01,16109,0,0,0,0,1,Y,2024-01-03
1866170,2,쑥갓,21800,중,2,   4,키로상자,   4키로상자,01,13979,0,0,0,0,1,Y,2024-01-03
1866171,2,쑥갓,21800,하,3,   4,키로상자,   4키로상자,01,10612,0,0,0,0,1,Y,2024-01-03
1866294,2,토마토,22500,특,0,  10,키로상자,  10키로상자,01,54129,0,0,0,0,1,Y,2024-01-03
1866295,2,토마토,22500,상,1,  10,키로상자,  10키로상자,01,50720,0,0,0,0,1,Y,2024-01-03
1866296,2,토마토,22500,중,2,  10,키로상자,  10키로상자,01,41724,0,0,0,0,1,Y,2024-01-03
1866297,2,토마토,22500,하,3,  10,키로상자,  10키로상자,01,27960,0,0,0,0,1,Y,2024-01-03
1866398,2,가지,22800,상,1,   8,키로상자,   8키로상자,01,42722,0,0,0,0,1,Y,2024-01-03
1866399,2,가지,22800,중,2,   8,키로상자,   8키로상자,01,37700,0,0,0,0,1,Y,2024-01-03
1866400,2,가지,22800,하,3,   8,키로상자,   8키로상자,01,25934,0,0,0,0,1,Y,2024-01-03
1866404,2,무,23100,특,0,  20,키로상자,  20키로상자,01,12159,0,0,0,0,1,Y,2024-01-03
1866405,2,무,23100,상,1,  20,키로상자,  20키로상자,01,10334,0,0,0,0,1,Y,2024-01-03
1866406,2,무,23100,중,2,  20,키로상자,  20키로상자,01,8293,0,0,0,0,1,Y,2024-01-03
